Type_médaille,Date,Athlète,Sexe,Discipline,Épreuve,Pays,Code_pays,Points
Silver,2024-07-31,MURAO Sanshiro,H,Judo,Men -90 kg,Japan,JPN,2
Bronze,2024-06-08,Janjaem SUWANNAPHENG,F,Boxing,Women's 66kg,Thailand,THA,1
Bronze,2024-03-08,Veronika MAJOR,F,Shooting,25m Pistol Women,Hungary,HUN,1
Bronze,2024-10-08,Aisuluu TYNYBEKOVA,F,Wrestling,Women's Freestyle 62kg,Kyrgyzstan,KGZ,1
Bronze,2024-10-08,LEE Dabin,F,Taekwondo,Women +67kg,Korea,KOR,1
Gold,2024-07-30,Nathan HALES,H,Shooting,Trap Men,Great Britain,GBR,3
Gold,2024-07-27,Lukas MAERTENS,H,Swimming,Men's 400m Freestyle,Germany,GER,3
Bronze,2024-07-08,Abraham KIBIWOT,H,Athletics,Men's 3000m Steeplechase,Kenya,KEN,1
Bronze,2024-08-08,Emma FINUCANE,F,Cycling Track,Women's Keirin,Great Britain,GBR,1
Silver,2024-07-31,Elena LILIK,F,Canoe Slalom,Women's Canoe Single,Germany,GER,2
Gold,2024-05-08,ZOU Jingyuan,H,Artistic Gymnastics,Men's Parallel Bars,China,CHN,3
Gold,2024-07-31,OKA Shinnosuke,H,Artistic Gymnastics,Men's All-Around,Japan,JPN,3
Silver,2024-07-08,Mykolas ALEKNA,H,Athletics,Men's Discus Throw,Lithuania,LTU,2
Bronze,2024-07-30,LEE Joonhwan,H,Judo,Men -81 kg,Korea,KOR,1
Gold,2024-08-08,FUJINAMI Akari,F,Wrestling,Women's Freestyle 53kg,Japan,JPN,3
Gold,2024-08-08,Ellesse ANDREWS,F,Cycling Track,Women's Keirin,New Zealand,NZL,3
Bronze,2024-10-08,Kyle Douglas DAKE,H,Wrestling,Men's Freestyle 74kg,United States,USA,1
Silver,2024-07-28,Adam PEATY,H,Swimming,Men's 100m Breaststroke,Great Britain,GBR,2
Gold,2024-03-08,Simone BILES,F,Artistic Gymnastics,Women's Vault,United States,USA,3
Bronze,2024-07-29,Matej BENUS,H,Canoe Slalom,Men's Canoe Single,Slovakia,SVK,1
Bronze,2024-09-08,Dauren KURUGLIEV,H,Wrestling,Men's Freestyle 86kg,Greece,GRE,1
Bronze,2024-09-08,Sifan HASSAN,F,Athletics,"Women's 10,000m",Netherlands,NED,1
Silver,2024-09-08,JOHNSON-THOMPSON Katarina,F,Athletics,Women's Heptathlon,Great Britain,GBR,2
Gold,2024-07-28,Korea,F,Archery,Women's Team,Korea,KOR,3
Gold,2024-05-08,Netherlands,H,3x3 Basketball,Men,Netherlands,NED,3
Gold,2024-03-08,Ukraine,F,Fencing,Women's Sabre Team,Ukraine,UKR,3
Gold,2024-02-08,Croatia,H,Rowing,Men's Pair,Croatia,CRO,3
